id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Glass Static,Paper Lanterns,dreampop,moody,0.63,106,0.41,0.56,0.32
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Late Night Thoughts,Cassius Grey,hip-hop,moody,0.65,90,0.42,0.76,0.12
12,Golden Hour,Sable June,r&b,relaxed,0.52,85,0.73,0.71,0.31
13,Drop Zone,Circuit Breaker,electronic,intense,0.95,140,0.58,0.92,0.04
14,Quiet Study Hall,The Ivory Ensemble,classical,focused,0.22,64,0.62,0.30,0.96
15,Iron Gates,Voltline,metal,intense,0.97,168,0.35,0.52,0.08
16,Sun and Salt,Coral Tide,reggae,happy,0.61,96,0.88,0.78,0.45
17,Porch Light,Ember Road,country,relaxed,0.44,88,0.76,0.57,0.67
18,Velvet Sunday,Marigold Soul,soul,happy,0.68,102,0.87,0.75,0.42
19,Wooden Bridges,The Hollow Pine,folk,relaxed,0.31,75,0.68,0.28,0.88
20,Blue Smoke,Delray Cross,blues,moody,0.48,70,0.38,0.33,0.72
21,Endless Corridor,Pale Signal,post-rock,focused,0.55,94,0.52,0.25,0.41
22,Candlelight Waltz,The Ivory Ensemble,classical,relaxed,0.26,68,0.74,0.22,0.94
23,Neon Nights,Indigo Parade,synthwave,moody,0.78,115,0.45,0.70,0.20
24,City Park Picnic,Marigold Soul,soul,happy,0.64,100,0.82,0.77,0.38
25,Techno Temple,Circuit Breaker,electronic,intense,0.92,138,0.55,0.90,0.03
26,Quiet Forest,The Hollow Pine,folk,relaxed,0.29,78,0.70,0.27,0.90
27,Midnight Jazz,Cassius Grey,hip-hop,moody,0.60,85,0.40,0.74,0.15
28,Sunset Boulevard,Neon Echo,pop,happy,0.80,120,0.83,0.80,0.25
29,Lo-Fi Dreams,LoRoom,lofi,chill,0.38,76,0.58,0.61,0.80
30,Thunder Road,Voltline,rock,intense,0.89,148,0.50,0.68,0.12
31,After Hours,Slow Stereo,jazz,moody,0.53,88,0.44,0.50,0.83
32,Noche Caliente,Sol Urbano,reggaeton,intense,0.88,95,0.72,0.93,0.05
33,Tarde de Abril,Casa Verde,bossa nova,relaxed,0.33,82,0.68,0.58,0.85
34,Fuego Verde,Sol Urbano,salsa,happy,0.84,188,0.90,0.89,0.12
35,Lagos Sunrise,Ade Rhythm,afrobeats,happy,0.82,110,0.88,0.91,0.08
36,Neon Rush,Prism Wave,k-pop,happy,0.87,130,0.80,0.88,0.05
37,Static Youth,Wire Riot,punk,intense,0.90,162,0.55,0.70,0.04
38,Dark Drip,Shadow Freq,trap,moody,0.72,140,0.36,0.82,0.06
39,Cold Pavement,Shadow Freq,drill,intense,0.85,144,0.32,0.78,0.04
40,Worn Pages,River Holt,acoustic,chill,0.28,66,0.66,0.30,0.95
41,Honey Light,Velour James,neo-soul,relaxed,0.55,94,0.80,0.68,0.45
42,Grid Pulse,Circuit Breaker,drum and bass,intense,0.94,174,0.50,0.85,0.02
43,Pavement Theory,Cassius Grey,boom bap,focused,0.55,88,0.48,0.68,0.22
44,Mountain Path,Kira Nomad,world,chill,0.35,74,0.62,0.44,0.80
45,Glass Aria,The Ivory Ensemble,neo-classical,focused,0.23,58,0.57,0.15,0.93
46,Still Waters,Orbit Bloom,ambient,focused,0.18,55,0.54,0.20,0.95
47,Creek Bed,River Holt,indie folk,chill,0.30,70,0.60,0.38,0.88
48,Dust Roads,Ember Road,alt-country,relaxed,0.40,86,0.70,0.52,0.75
49,Island Frequency,Coral Tide,dancehall,chill,0.55,90,0.76,0.82,0.35
50,Higher Ground,The Jubilee Choir,gospel,happy,0.74,112,0.92,0.68,0.48
51,Morning Reverie,Hazel Drift,acoustic pop,happy,0.45,90,0.84,0.53,0.76
52,Phase Lock,Quantum Leaf,jazz fusion,focused,0.63,106,0.58,0.60,0.28
53,Circuit Noir,Null Vector,industrial,moody,0.87,148,0.26,0.62,0.03
54,Gravel Coast,Wire Riot,post-punk,moody,0.74,128,0.42,0.65,0.08
